"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"1","Stanford","College","Women","Division I","Southwest","NorCal DI","19","3","/teams/events/Eventteam/?TeamId=faCvEuMFy23C4G8BHhXN5bNK3vSLwrtP1rTRsReJrTw%3d",27.400746578484
"2","Dartmouth","College","Women","Division I","New England","Greater New England DI","16","3","/teams/events/Eventteam/?TeamId=TD1wPc1I0sgrpL%2b1X4GcAfprv67kxfwMicdhFf%2bHL2w%3d",18.1757949020693
"3","Texas","College","Women","Division I","South Central","Texas DI","16","3","/teams/events/Eventteam/?TeamId=u92PZuIwLDsnzZotN6V3ycmxqrItAf6ivB9wAGa5RzM%3d",18.0963895345007
"4","Tufts","College","Women","Division I","New England","Metro Boston DI","17","3","/teams/events/Eventteam/?TeamId=NPK43YoRMkOdohg3cwwhJIMAS8fQ2q5wEqfyGodWFVc%3d",15.7911187956865
"5","Virginia","College","Women","Division I","Atlantic Coast","Virginia DI","22","2","/teams/events/Eventteam/?TeamId=Pa9hSBvBGBuVddUcFODw63s9LRWMO1lvMQ44E3VerlI%3d",15.4986651443638
"6","UCLA","College","Women","Division I","Southwest","SoCal DI","18","4","/teams/events/Eventteam/?TeamId=XuZnaetsEFfw7Mi7zx9NO3tqY2G8yPobx7r1ukbjM0s%3d",14.843141117954
"7","California","College","Women","Division I","Southwest","NorCal DI","16","9","/teams/events/Eventteam/?TeamId=mpzN%2fVnxZJJKtfn5A4%2fFlN030n0gCr87nO55aQmvB2o%3d",10.8401540571277
"8","Pittsburgh","College","Women","Division I","Ohio Valley","Pennsylvania DI","15","5","/teams/events/Eventteam/?TeamId=5slmE1sQQsinK38zekixhdaET5Mj7TP9tXv5TPF4NSk%3d",9.80830785490999
"9","Oregon","College","Women","Division I","Northwest","Cascadia DI","17","10","/teams/events/Eventteam/?TeamId=N%2b7PzrXcPsKTx6%2b7vdtjUbmN0frrwfDm%2fVuoS02%2f5sg%3d",8.83887760826607
"10","Notre Dame","College","Women","Division I","Great Lakes","Eastern Great Lakes DI","16","4","/teams/events/Eventteam/?TeamId=NlgGmF5%2fHFFCFk0%2bit1Df4adVSNOl1Ab%2bLRZdw5gBHw%3d",8.1968201695069
"11","British Columbia","College","Women","Division I","Northwest","Cascadia DI","9","4","/teams/events/Eventteam/?TeamId=NNu4QDzdxmCc84pORcnIqUnQt0yr%2fW3rDg1e7G0pCXs%3d",7.65361009444077
