"","Team","Competition Level","Gender Division","Competition Division","College Region","College Conference","Wins","Losses","Links","Rating"
"1","North Carolina","College","Men","Division I","Atlantic Coast","Carolina DI","24","4","/teams/events/Eventteam/?TeamId=vI99IYpnl7lsznHrJX7LkkugCocbEmeBuwYqfHnOJ%2f8%3d",25.926925364353
"2","Massachusetts","College","Men","Division I","New England","South New England DI","13","2","/teams/events/Eventteam/?TeamId=xo4%2fRBC6DCwAgyGkNlrh5Jd%2fAgMMkCvzBxM6cX8V%2fRw%3d",18.5297216745308
"3","Pittsburgh","College","Men","Division I","Ohio Valley","West Penn DI","20","3","/teams/events/Eventteam/?TeamId=YJKP2Ma0SbX%2bRSPzeNdLksaAijbBqVZyFDrQB%2byY60w%3d",18.0786537239122
"4","Carleton College","College","Men","Division I","North Central","Northwoods DI","16","7","/teams/events/Eventteam/?TeamId=iEbc40ZlaSQ96hP4uLRrLTbfxO85c5QJRJqYYmD0Du4%3d",14.2877668175336
"5","Oregon","College","Men","Division I","Northwest","Cascadia DI","21","5","/teams/events/Eventteam/?TeamId=0jLwmETaV%2fD03DR0Ot%2f5Z7%2bUzrYlQ%2f3NDAR26ipknaw%3d",14.2625742559847
"6","Minnesota","College","Men","Division I","North Central","Northwoods DI","19","3","/teams/events/Eventteam/?TeamId=jGSHS2DOBZZZQyS0kuiXB8UYOqnKf60nCFGiVhspSbo%3d",11.869838913242
"7","Wisconsin","College","Men","Division I","North Central","Lake Superior DI","14","9","/teams/events/Eventteam/?TeamId=r%2fiifMqBwegjH9eydr5Is1ImvkBwn2J%2bPyCrKK2T1%2bA%3d",9.44208325167895
"8","Colorado","College","Men","Division I","South Central","Rocky Mountain DI","16","4","/teams/events/Eventteam/?TeamId=GAT6WBHUZCfT%2fTQNIekbK4Zco%2bopLKvmonlrfnsM3Gs%3d",8.98983831570209
"9","Cal Poly-SLO","College","Men","Division I","Southwest","SoCal DI","19","10","/teams/events/Eventteam/?TeamId=upONuvObIX0TM7S2QuPFQ6%2bzUsEb4Mq3%2fxwncss5NEo%3d",8.05690057288946
"10","Brigham Young","College","Men","Division I","Northwest","Big Sky DI","18","6","/teams/events/Eventteam/?TeamId=kB9yug7FXzHWqdcGUE7djiAcTF7pFOBRrxC1ZYbxWs8%3d",7.00933542349776
"11","Michigan","College","Men","Division I","Great Lakes","Michigan DI","17","4","/teams/events/Eventteam/?TeamId=ULaD2lgbfs6ahV7nzCknxa9Dtw8%2bPtQpidFY%2bCm2d0g%3d",6.59149860889407
"12","North Carolina-Wilmington","College","Men","Division I","Atlantic Coast","Carolina DI","12","4","/teams/events/Eventteam/?TeamId=FvIbY2%2bFftyWL9gjTzN0Ig%2fChVW1cT%2bowFuGDwV3%2fk0%3d",6.27900515831097
"13","British Columbia","College","Men","Division I","Northwest","Cascadia DI","13","7","/teams/events/Eventteam/?TeamId=O8qD5sxMQuQNaVYulq3Jq0R6fv6H4DE1bfgN1KUj4kM%3d",6.10613314387842
"14","Washington","College","Men","Division I","Northwest","Cascadia DI","15","8","/teams/events/Eventteam/?TeamId=7fAZ7vZGbu4H9hgu4YNumWccDVsrtfw5hVFh9O6rA%2bI%3d",6.02746054165967
"15","Georgia","College","Men","Division I","Southeast","Southern Appalachian DI","13","7","/teams/events/Eventteam/?TeamId=Z8icJNv%2btXdqQAD9V0ujRC5vt%2bRltwBAQaoTdO98Nl4%3d",5.85185536346776
